Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
867946,2022-08-05 19:00:00+00:00,A. Taylor,Selhurst Park,London,Crystal Palace,Arsenal,0,2,Away Win,2,2,10,6,9,1,16,3,1,56%,1,0,1,562,487,87%,2,4,10,4,8,2,11,5,2,44%,2,0,2,438,360,82%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867947,2022-08-06 11:30:00+00:00,A. Madley,Craven Cottage,London,Fulham,Liverpool,2,2,Draw,3,2,9,4,7,2,7,4,4,33%,2,0,1,294,181,62%,4,5,11,2,9,2,9,4,4,67%,0,0,1,612,473,77%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867951,2022-08-06 14:00:00+00:00,S. Hooper,St. James' Park,Newcastle upon Tyne,Newcastle,Nottingham Forest,2,0,Home Win,10,8,23,5,16,7,9,11,2,61%,0,0,0,469,379,81%,0,3,5,2,4,1,14,1,0,39%,3,0,7,294,207,70%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867948,2022-08-06 14:00:00+00:00,P. Bankes,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Aston Villa,2,0,Home Win,3,2,7,2,6,1,18,5,1,34%,3,0,2,301,211,70%,2,7,15,6,4,11,16,5,4,66%,3,0,1,571,479,84%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867952,2022-08-06 14:00:00+00:00,A. Marriner,Tottenham Hotspur Stadium,London,Tottenham,Southampton,4,1,Home Win,8,6,18,4,14,4,11,10,2,58%,3,0,1,554,471,85%,2,5,10,3,6,4,6,2,0,42%,0,0,5,410,337,82%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867949,2022-08-06 14:00:00+00:00,R. Jones,Elland Road,"Leeds, West Yorkshire",Leeds,Wolves,2,1,Home Win,4,5,12,3,7,5,13,6,0,40%,2,0,5,355,269,76%,6,6,15,3,8,7,9,4,1,60%,0,0,3,546,463,85%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867953,2022-08-06 16:30:00+00:00,C. Pawson,Goodison Park,Liverpool,Everton,Chelsea,0,1,Away Win,4,3,8,1,7,1,14,4,0,37%,3,0,5,335,246,73%,6,3,15,6,11,4,11,16,2,63%,2,0,3,566,490,87%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867954,2022-08-07 13:00:00+00:00,P. Tierney,Old Trafford,Manchester,Manchester United,Brighton,1,2,Away Win,5,5,17,7,13,4,7,6,3,63%,4,0,2,548,452,82%,4,6,15,5,10,5,12,2,1,37%,1,0,5,326,229,70%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867950,2022-08-07 13:00:00+00:00,J. Gillett,King Power Stadium,"Leicester, Leicestershire",Leicester,Brentford,2,2,Draw,5,6,14,3,5,9,6,5,2,55%,0,0,1,580,510,88%,3,4,8,1,5,3,5,6,2,45%,0,0,3,457,386,84%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867955,2022-08-07 15:30:00+00:00,M. Oliver,London Stadium,London,West Ham,Manchester City,0,2,Away Win,1,2,6,3,5,1,8,1,4,25%,0,0,0,263,206,78%,2,8,14,4,9,5,4,4,1,75%,1,0,1,833,774,93%,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867957,2022-08-13 11:30:00+00:00,M. Oliver,Villa Park,Birmingham,Aston Villa,Everton,2,1,Home Win,4,4,12,4,10,2,9,5,2,58%,4,0,4,517,435,84%,4,2,15,9,11,4,7,8,3,42%,1,0,1,378,291,77%,,,0.0,0.0,10.0,0.0,0.0,5.0,-5.0,0.0,0.0,5.0,0.0,0.0,5.0,-2.5
867959,2022-08-13 14:00:00+00:00,G. Scott,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Newcastle,0,0,Draw,7,3,13,3,8,5,8,7,1,55%,2,0,1,374,286,76%,1,2,4,1,3,1,6,3,4,45%,3,0,5,314,230,73%,,,15.0,10.0,5.0,5.0,0.0,0.0,17.5,15.0,10.0,0.0,5.0,0.0,0.0,20.0
867962,2022-08-13 14:00:00+00:00,D. Coote,Etihad Stadium,Manchester,Manchester City,Bournemouth,4,0,Home Win,7,6,19,6,12,7,9,11,2,67%,0,0,1,696,649,93%,1,1,3,1,1,2,9,1,1,33%,3,0,4,353,288,82%,,,15.0,10.0,0.0,5.0,0.0,0.0,20.0,15.0,10.0,0.0,5.0,0.0,0.0,20.0
867965,2022-08-13 14:00:00+00:00,J. Brooks,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Fulham,0,0,Draw,1,5,7,1,4,3,7,5,1,60%,3,0,3,496,392,79%,3,5,9,1,8,1,14,3,0,40%,3,0,1,328,235,72%,,,0.0,5.0,10.0,0.0,0.0,5.0,-2.5,5.0,10.0,10.0,0.0,5.0,0.0,5.0
867964,2022-08-13 14:00:00+00:00,T. Harrington,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Leeds,2,2,Draw,4,7,14,3,9,5,10,2,1,43%,1,0,3,332,232,70%,5,4,13,4,11,2,12,5,1,57%,3,0,2,454,336,74%,,,0.0,5.0,20.0,0.0,0.0,5.0,-7.5,15.0,10.0,5.0,5.0,0.0,0.0,17.5
867956,2022-08-13 14:00:00+00:00,D. England,Emirates Stadium,London,Arsenal,Leicester,4,2,Home Win,7,8,19,4,15,4,15,6,2,50%,1,0,1,462,386,84%,2,3,6,1,5,1,9,2,3,50%,1,0,4,472,383,81%,,,15.0,10.0,0.0,5.0,0.0,0.0,20.0,5.0,10.0,10.0,0.0,5.0,0.0,5.0
867958,2022-08-13 16:30:00+00:00,S. Attwell,Gtech Community Stadium,"Brentford, Middlesex",Brentford,Manchester United,4,0,Home Win,7,3,13,3,7,6,6,8,1,33%,0,0,4,255,167,65%,4,7,15,4,7,8,15,2,2,67%,4,0,3,525,444,85%,,,5.0,10.0,10.0,0.0,5.0,0.0,5.0,0.0,5.0,10.0,0.0,0.0,5.0,-2.5
867963,2022-08-14 13:00:00+00:00,R. Jones,The City Ground,"Nottingham, Nottinghamshire",Nottingham Forest,West Ham,1,0,Home Win,6,4,13,3,10,3,10,6,3,43%,4,0,4,288,190,66%,5,8,19,6,10,9,11,7,2,57%,1,0,5,381,284,75%,,,0.0,0.0,10.0,0.0,0.0,5.0,-5.0,0.0,0.0,10.0,0.0,0.0,5.0,-5.0
867960,2022-08-14 15:30:00+00:00,A. Taylor,Stamford Bridge,London,Chelsea,Tottenham,2,2,Draw,3,6,16,7,11,5,9,8,2,64%,3,0,3,597,512,86%,5,2,10,3,8,2,9,5,1,36%,0,0,1,340,269,79%,,,15.0,5.0,0.0,5.0,0.0,0.0,17.5,15.0,20.0,5.0,5.0,0.0,0.0,22.5
867961,2022-08-15 19:00:00+00:00,P. Tierney,Anfield,Liverpool,Liverpool,Crystal Palace,1,1,Draw,4,10,24,10,16,8,7,4,3,73%,2,1,2,741,645,87%,3,4,7,0,5,2,8,2,2,27%,4,0,3,274,189,69%,,,5.0,10.0,10.0,0.0,5.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,5.0,-5.0
867974,2022-08-20 11:30:00+00:00,S. Hooper,Tottenham Hotspur Stadium,London,Tottenham,Wolves,1,0,Home Win,4,5,11,2,10,1,10,8,2,50%,2,0,3,472,411,87%,3,8,20,9,7,13,8,6,0,50%,2,0,3,477,399,84%,,,10.0,15.0,7.5,2.5,2.5,0.0,13.75,2.5,2.5,5.0,0.0,2.5,2.5,1.25
867967,2022-08-20 14:00:00+00:00,A. Madley,Selhurst Park,London,Crystal Palace,Aston Villa,3,1,Home Win,9,5,17,3,15,2,16,4,1,51%,2,0,4,448,378,84%,5,6,13,2,11,2,14,2,1,49%,1,0,6,428,348,81%,,,2.5,2.5,7.5,0.0,2.5,2.5,0.0,7.5,5.0,7.5,2.5,0.0,2.5,6.25
867971,2022-08-20 14:00:00+00:00,M. Salisbury,King Power Stadium,"Leicester, Leicestershire",Leicester,Southampton,1,2,Away Win,1,3,6,2,4,2,11,2,0,62%,2,0,1,556,454,82%,3,5,9,1,6,3,15,5,1,38%,3,0,0,335,240,72%,,,2.5,10.0,15.0,0.0,2.5,2.5,0.0,2.5,7.5,15.0,0.0,2.5,2.5,-1.25
867968,2022-08-20 14:00:00+00:00,A. Marriner,Goodison Park,Liverpool,Everton,Nottingham Forest,1,1,Draw,8,6,19,5,9,10,6,6,4,48%,3,0,4,413,320,77%,5,6,14,3,7,7,9,2,1,52%,2,0,7,444,326,73%,,,0.0,2.5,7.5,0.0,0.0,5.0,-2.5,7.5,2.5,5.0,2.5,0.0,2.5,6.25
867969,2022-08-20 14:00:00+00:00,P. Bankes,Craven Cottage,London,Fulham,Brentford,3,2,Home Win,9,4,18,5,13,5,13,6,5,44%,3,0,3,311,219,70%,5,4,13,4,11,2,7,3,7,56%,2,0,6,417,315,76%,,,5.0,5.0,5.0,0.0,5.0,0.0,5.0,10.0,15.0,5.0,2.5,2.5,0.0,15.0
867966,2022-08-20 16:30:00+00:00,C. Pawson,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Arsenal,0,3,Away Win,1,5,6,0,4,2,12,3,1,42%,2,0,3,411,324,79%,6,4,14,4,11,3,10,4,3,58%,1,0,1,580,517,89%,,,7.5,5.0,10.0,2.5,0.0,2.5,5.0,15.0,15.0,5.0,5.0,0.0,0.0,20.0
867975,2022-08-21 13:00:00+00:00,A. Taylor,London Stadium,London,West Ham,Brighton,0,2,Away Win,3,3,13,7,8,5,10,5,3,50%,2,0,0,467,376,81%,2,5,11,4,9,2,7,4,1,50%,0,0,3,485,395,81%,,,0.0,0.0,7.5,0.0,0.0,5.0,-3.75,10.0,5.0,2.5,2.5,2.5,0.0,11.25
867970,2022-08-21 13:00:00+00:00,S. Attwell,Elland Road,"Leeds, West Yorkshire",Leeds,Chelsea,3,0,Home Win,6,4,12,2,9,3,16,4,1,39%,0,0,3,318,227,71%,3,4,14,7,9,5,15,6,7,61%,3,1,3,494,405,82%,,,10.0,10.0,7.5,2.5,2.5,0.0,11.25,10.0,7.5,5.0,2.5,2.5,0.0,11.25
867973,2022-08-21 15:30:00+00:00,J. Gillett,St. James' Park,Newcastle upon Tyne,Newcastle,Manchester City,3,3,Draw,6,4,12,2,10,2,14,5,2,31%,4,0,7,275,185,67%,10,4,21,7,14,7,7,5,1,69%,2,0,2,608,521,86%,,,10.0,5.0,0.0,2.5,2.5,0.0,12.5,15.0,15.0,0.0,5.0,0.0,0.0,22.5
867972,2022-08-22 19:00:00+00:00,M. Oliver,Old Trafford,Manchester,Manchester United,Liverpool,2,1,Home Win,5,4,13,4,8,5,11,6,2,30%,3,0,5,273,180,66%,5,7,17,5,15,2,7,8,2,70%,1,0,3,645,540,84%,,,0.0,2.5,15.0,0.0,0.0,5.0,-6.25,5.0,7.5,7.5,0.0,5.0,0.0,5.0
