Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
710569,2021-08-21 14:00:00+00:00,M. Atkinson,Selhurst Park,London,Crystal Palace,Brentford,0,0,Draw,2,5,7,0,5,2,12,3,1,53%,3,0,3,431,324,75%,3,7,14,4,8,6,9,5,2,47%,1,0,2,382,270,71%,0,0,0.0,0.0,15.0,0.0,0.0,5.0,-7.5,15.0,10.0,0.0,5.0,0.0,0.0,20.0
710568,2021-08-21 16:30:00+00:00,A. Taylor,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Watford,2,0,Home Win,3,5,13,5,8,5,11,7,1,57%,4,0,1,585,502,86%,1,5,10,4,7,3,6,2,1,43%,0,0,1,441,365,83%,0,0,15.0,10.0,5.0,5.0,0.0,0.0,17.5,15.0,15.0,10.0,5.0,0.0,0.0,17.5
710575,2021-08-22 13:00:00+00:00,S. Attwell,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Tottenham,0,1,Away Win,6,9,25,10,14,11,9,5,2,58%,1,0,5,470,394,84%,6,0,8,2,7,1,7,4,0,42%,4,0,6,356,284,80%,0,0,0.0,0.0,5.0,0.0,0.0,5.0,-2.5,15.0,5.0,0.0,5.0,0.0,0.0,17.5
710573,2021-08-22 13:00:00+00:00,C. Pawson,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Manchester United,1,1,Draw,3,4,8,1,3,5,12,7,0,36%,2,0,2,291,201,69%,4,7,15,4,11,4,10,7,2,64%,3,0,3,520,415,80%,0,0,0.0,5.0,15.0,0.0,0.0,5.0,-5.0,15.0,25.0,5.0,5.0,0.0,0.0,25.0
710566,2021-08-22 15:30:00+00:00,P. Tierney,Emirates Stadium,London,Arsenal,Chelsea,0,2,Away Win,3,2,6,1,3,3,10,9,5,35%,3,0,3,335,266,79%,5,6,22,11,15,7,4,8,0,65%,0,0,3,646,574,89%,0,0,0.0,0.0,10.0,0.0,0.0,5.0,-5.0,15.0,15.0,0.0,5.0,0.0,0.0,22.5
710574,2021-08-23 19:00:00+00:00,M. Oliver,London Stadium,London,West Ham,Leicester,4,1,Home Win,7,10,19,2,15,4,8,10,2,51%,0,0,0,502,431,86%,1,2,5,2,4,1,8,0,0,49%,1,1,3,508,427,84%,0,0,15.0,20.0,10.0,5.0,0.0,0.0,20.0,15.0,5.0,0.0,5.0,0.0,0.0,17.5
710580,2021-08-28 11:30:00+00:00,M. Atkinson,Etihad Stadium,Manchester,Manchester City,Arsenal,5,0,Home Win,10,5,25,10,17,8,5,14,1,80%,1,0,0,757,693,92%,0,1,1,0,1,0,7,0,3,20%,2,1,5,185,125,68%,0,0,7.5,12.5,2.5,2.5,0.0,2.5,12.5,0.0,0.0,10.0,0.0,0.0,5.0,-5.0
710582,2021-08-28 14:00:00+00:00,R. Jones,Carrow Road,"Norwich, Norfolk",Norwich,Leicester,1,2,Away Win,4,6,14,4,5,9,8,9,2,44%,2,0,1,369,285,77%,3,5,9,1,7,2,9,9,2,56%,1,0,3,471,364,77%,0,0,0.0,0.0,20.0,0.0,0.0,5.0,-10.0,7.5,5.0,10.0,2.5,0.0,2.5,5.0
710576,2021-08-28 14:00:00+00:00,P. Bankes,Villa Park,Birmingham,Aston Villa,Brentford,1,1,Draw,5,2,7,0,5,2,15,3,1,47%,3,0,1,364,269,74%,2,2,9,5,7,2,14,2,2,53%,3,0,4,435,334,77%,0,0,7.5,10.0,7.5,2.5,0.0,2.5,8.75,10.0,5.0,0.0,2.5,2.5,0.0,12.5
710584,2021-08-28 14:00:00+00:00,S. Attwell,London Stadium,London,West Ham,Crystal Palace,2,2,Draw,4,3,14,7,11,3,10,5,1,46%,1,0,0,378,295,78%,2,3,9,4,6,3,7,3,2,54%,0,0,2,462,380,82%,0,0,15.0,20.0,7.5,5.0,0.0,0.0,21.25,2.5,0.0,7.5,0.0,2.5,2.5,-1.25
710581,2021-08-28 14:00:00+00:00,P. Tierney,St. James' Park,Newcastle upon Tyne,Newcastle,Southampton,2,2,Draw,5,5,10,0,7,3,11,4,5,36%,3,0,4,293,203,69%,6,7,22,9,12,10,6,4,0,64%,3,0,2,525,451,86%,0,0,0.0,5.0,15.0,0.0,0.0,5.0,-5.0,2.5,5.0,10.0,0.0,2.5,2.5,0.0
710577,2021-08-28 14:00:00+00:00,J. Moss,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Everton,0,2,Away Win,3,5,14,6,5,9,7,4,1,66%,1,0,3,612,529,86%,5,4,14,5,8,6,9,5,0,34%,2,0,3,315,243,77%,0,0,15.0,10.0,2.5,5.0,0.0,0.0,18.75,10.0,12.5,7.5,2.5,2.5,0.0,12.5
710579,2021-08-28 16:30:00+00:00,A. Taylor,Anfield,Liverpool,Liverpool,Chelsea,1,1,Draw,7,12,24,5,17,7,13,12,0,66%,0,0,2,695,598,86%,3,1,6,2,6,0,4,3,2,34%,2,1,6,370,268,72%,0,0,15.0,12.5,0.0,5.0,0.0,0.0,21.25,15.0,12.5,0.0,5.0,0.0,0.0,21.25
710578,2021-08-29 13:00:00+00:00,M. Oliver,Turf Moor,Burnley,Burnley,Leeds,1,1,Draw,3,5,12,4,9,3,13,5,2,36%,4,0,1,291,198,68%,2,5,12,5,9,3,9,5,2,64%,3,0,2,521,426,82%,0,0,0.0,2.5,10.0,0.0,0.0,5.0,-3.75,2.5,7.5,17.5,0.0,2.5,2.5,-2.5
710583,2021-08-29 13:00:00+00:00,A. Marriner,Tottenham Hotspur Stadium,London,Tottenham,Watford,1,0,Home Win,8,4,15,3,9,6,8,10,2,58%,3,0,2,500,439,88%,2,4,9,3,6,3,14,3,1,42%,3,0,7,364,297,82%,0,0,15.0,5.0,0.0,5.0,0.0,0.0,17.5,7.5,7.5,10.0,2.5,0.0,2.5,6.25
710585,2021-08-29 15:30:00+00:00,M. Dean,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Manchester United,0,1,Away Win,6,6,15,3,10,5,7,5,5,44%,3,0,2,427,349,82%,3,5,10,2,7,3,9,7,4,56%,4,0,5,552,478,87%,0,0,0.0,0.0,5.0,0.0,0.0,5.0,-2.5,10.0,15.0,5.0,2.5,2.5,0.0,15.0
710589,2021-09-11 11:30:00+00:00,J. Moss,Selhurst Park,London,Crystal Palace,Tottenham,3,0,Home Win,4,7,18,7,12,6,13,8,0,62%,2,0,1,498,412,83%,1,1,2,0,1,1,15,2,0,38%,3,1,1,314,231,74%,0,0,3.3333333333333335,3.3333333333333335,8.333333333333334,0.0,3.3333333333333335,1.6666666666666667,0.8333333333333334,15.0,5.0,0.0,5.0,0.0,0.0,17.5
710586,2021-09-11 14:00:00+00:00,M. Oliver,Emirates Stadium,London,Arsenal,Norwich,1,0,Home Win,7,13,30,10,21,9,9,8,2,52%,1,0,1,437,365,84%,1,3,10,6,5,5,11,4,0,48%,2,0,5,408,320,78%,0,0,0.0,0.0,15.0,0.0,0.0,5.0,-7.5,0.0,1.6666666666666667,16.666666666666668,0.0,0.0,5.0,-7.5
