Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Away Shots on Goal,Home Shots off Goal,Away Shots off Goal,Home Total Shots,Away Total Shots,Home Blocked Shots,Away Blocked Shots,Home Shots insidebox,Away Shots insidebox,Home Shots outsidebox,Away Shots outsidebox,Home Fouls,Away Fouls,Home Corner Kicks,Away Corner Kicks,Home Offsides,Away Offsides,Home Ball Possession,Away Ball Possession,Home Yellow Cards,Away Yellow Cards,Home Red Cards,Away Red Cards,Home Goalkeeper Saves,Away Goalkeeper Saves,Home Total passes,Away Total passes,Home Passes accurate,Away Passes accurate,Home Passes %,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
194557,2010-08-21 14:00:00+00:00,,Boleyn Ground (London),,West Ham,Bolton,1,3,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.0,0.0,0.0,5.0,-7.5,5.0,0.0,0.0,0.0,5.0,0.0,5.0
194563,2010-08-21 16:15:00+00:00,,The DW Stadium (Wigan),,Wigan,Chelsea,0,6,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,20.0,0.0,0.0,5.0,-10.0,15.0,30.0,0.0,5.0,0.0,0.0,30.0
194564,2010-08-22 12:30:00+00:00,,Sports Direct Arena (Newcastle-upon-Tyne),,Newcastle,Aston Villa,6,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,15.0,0.0,0.0,5.0,-7.5,15.0,15.0,0.0,5.0,0.0,0.0,22.5
194565,2010-08-22 15:00:00+00:00,,Craven Cottage (London),,Fulham,Manchester United,2,2,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,15.0,15.0,0.0,5.0,0.0,0.0,22.5
194566,2010-08-23 19:00:00+00:00,,"Etihad Stadium, Manchester (Manchester)",,Manchester City,Liverpool,3,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
194547,2010-08-28 11:45:00+00:00,,Ewood Park (Blackburn),,Blackburn,Arsenal,1,2,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,5.0,5.0,2.5,0.0,2.5,7.5,10.0,17.5,2.5,2.5,2.5,0.0,17.5
194551,2010-08-28 14:00:00+00:00,,Bloomfield Road (Blackpool),,Blackpool,Fulham,2,2,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,10.0,15.0,2.5,0.0,2.5,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
194550,2010-08-28 14:00:00+00:00,,Stamford Bridge (London),,Chelsea,Stoke City,2,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,30.0,0.0,5.0,0.0,0.0,30.0,0.0,5.0,10.0,0.0,0.0,5.0,-2.5
194549,2010-08-28 14:00:00+00:00,,White Hart Lane (London),,Tottenham,Wigan,0,1,Away Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,5.0,2.5,2.5,2.5,0.0,11.25,0.0,0.0,25.0,0.0,0.0,5.0,-12.5
194548,2010-08-28 14:00:00+00:00,,"Molineux Stadium (Wolverhampton, West Midlands)",,Wolves,Newcastle,1,1,Draw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,7.5,5.0,2.5,2.5,0.0,11.25,7.5,15.0,7.5,2.5,0.0,2.5,11.25
194552,2010-08-28 16:30:00+00:00,,Old Trafford (Manchester),,Manchester United,West Ham,3,0,Home Win,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0,12.5,5.0,2.5,2.5,0.0,13.75,0.0,2.5,15.0,0.0,0.0,5.0,-6.25
