Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Home expected_goals,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
1035050,2023-08-19 14:00:00+00:00,T. Bramall,Anfield,Liverpool,Liverpool,Bournemouth,3,1,Home Win,10,8,26,8,17,9,11,10,0,65%,1,1,4,600,516,86%,3.08,5,7,13,1,6,7,13,2,3,35%,3,0,8,325,236,73%,1.29,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
1035054,2023-08-19 16:30:00+00:00,M. Oliver,Tottenham Hotspur Stadium,London,Tottenham,Manchester United,2,0,Home Win,6,7,17,4,13,4,9,5,1,56%,1,0,6,502,428,85%,1.74,6,7,22,9,16,6,8,6,4,44%,3,0,5,401,332,83%,2.07,5.0,10.0,10.0,0.0,5.0,0.0,5.0,15.0,5.0,0.0,5.0,0.0,0.0,17.5
1035052,2023-08-19 19:00:00+00:00,R. Jones,Etihad Stadium,Manchester,Manchester City,Newcastle,1,0,Home Win,4,3,14,7,10,4,12,3,1,60%,1,0,1,679,608,90%,1.08,1,2,7,4,4,3,11,0,4,40%,5,0,3,452,387,86%,0.29,15.0,15.0,0.0,5.0,0.0,0.0,22.5,15.0,25.0,5.0,5.0,0.0,0.0,25.0
1035047,2023-08-20 13:00:00+00:00,A. Taylor,Villa Park,Birmingham,Aston Villa,Everton,4,0,Home Win,7,4,13,2,9,4,8,7,1,60%,3,0,2,566,507,90%,3.0,2,3,9,4,6,3,12,6,1,40%,4,0,3,361,294,81%,0.63,0.0,5.0,25.0,0.0,0.0,5.0,-10.0,0.0,0.0,5.0,0.0,0.0,5.0,-2.5
1035055,2023-08-20 15:30:00+00:00,J. Brooks,London Stadium,London,West Ham,Chelsea,3,1,Home Win,6,3,12,3,7,5,12,3,3,24%,4,1,3,227,157,69%,1.8,4,9,17,4,11,6,9,9,2,76%,3,0,3,716,630,88%,2.49,5.0,5.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,5.0
1035048,2023-08-21 19:00:00+00:00,D. Coote,Selhurst Park,London,Crystal Palace,Arsenal,0,1,Away Win,2,5,14,7,10,4,14,1,0,47%,2,0,2,428,370,86%,1.01,3,7,14,4,11,3,10,8,2,53%,3,1,2,489,422,86%,2.02,15.0,5.0,0.0,5.0,0.0,0.0,17.5,15.0,10.0,5.0,5.0,0.0,0.0,17.5
1035062,2023-08-25 19:00:00+00:00,R. Jones,Stamford Bridge,London,Chelsea,Luton,3,0,Home Win,8,6,19,5,16,3,15,6,0,67%,2,0,1,653,603,92%,2.27,1,5,11,5,7,4,12,4,0,33%,3,0,5,306,240,78%,0.44,2.5,5.0,10.0,0.0,2.5,2.5,0.0,0.0,5.0,20.0,0.0,0.0,5.0,-7.5
1035057,2023-08-26 11:30:00+00:00,T. Robinson,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Tottenham,0,2,Away Win,3,5,11,3,6,5,18,6,3,43%,1,0,4,391,312,80%,0.67,6,7,17,4,12,5,11,2,0,57%,3,0,3,537,477,89%,2.06,2.5,5.0,10.0,0.0,2.5,2.5,0.0,10.0,10.0,5.0,2.5,2.5,0.0,12.5
1035059,2023-08-26 14:00:00+00:00,P. Bankes,Gtech Community Stadium,"Brentford, Middlesex",Brentford,Crystal Palace,1,1,Draw,1,4,12,7,10,2,9,8,2,60%,0,0,4,518,439,85%,0.97,5,4,15,6,10,5,15,6,2,40%,0,0,0,348,283,81%,0.8,10.0,12.5,5.0,2.5,2.5,0.0,13.75,7.5,2.5,2.5,2.5,0.0,2.5,7.5
1035063,2023-08-26 14:00:00+00:00,C. Pawson,Goodison Park,Liverpool,Everton,Wolves,0,1,Away Win,7,6,15,2,11,4,10,7,1,47%,3,0,2,406,333,82%,1.34,2,5,11,4,7,4,14,0,1,53%,4,0,7,472,396,84%,1.08,0.0,0.0,12.5,0.0,0.0,5.0,-6.25,0.0,2.5,12.5,0.0,0.0,5.0,-5.0
