Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals,Home_Points,Home_Goals_Scored,Home_Goals_Conceded,Home_Wins,Home_Draws,Home_Losses,Home_Form_Score,Away_Points,Away_Goals_Scored,Away_Goals_Conceded,Away_Wins,Away_Draws,Away_Losses,Away_Form_Score
17696,2016-08-13 11:30:00+00:00,"Mike Dean, England",KCOM Stadium,Hull,Hull City,Leicester,2,1,Home Win,5,7,14,2,7,7,8,5,1,49%,2,0,4,449,343,76%,5,9,18,4,9,9,17,3,0,51%,2,0,3,453,352,78%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17695,2016-08-13 14:00:00+00:00,"Roger East, England",St. Mary's Stadium,Southampton,Southampton,Watford,1,1,Draw,6,10,24,8,11,13,8,6,1,64%,1,0,0,583,495,85%,1,4,5,0,1,4,12,2,0,36%,2,1,6,325,224,69%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17691,2016-08-13 14:00:00+00:00,"Jonathan Moss, England",Turf Moor,Burnley,Burnley,Swansea,0,1,Away Win,3,5,10,2,6,4,10,7,3,47%,3,0,7,353,249,71%,9,6,17,2,11,6,14,4,2,53%,2,0,3,383,297,78%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17693,2016-08-13 14:00:00+00:00,"Martin Atkinson, England",Goodison Park,Liverpool,Everton,Tottenham,1,1,Draw,6,4,12,2,6,6,10,5,5,42%,0,0,3,361,262,73%,4,4,13,5,8,5,14,6,0,58%,0,0,5,483,384,80%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17692,2016-08-13 14:00:00+00:00,"Craig Pawson, England",Selhurst Park,London,Crystal Palace,West Brom,0,1,Away Win,4,7,14,3,7,7,12,3,0,62%,2,0,2,414,298,72%,3,8,13,2,8,5,15,6,2,38%,2,0,4,245,143,58%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17694,2016-08-13 14:00:00+00:00,"Kevin Friend, England",Riverside,Middlesbrough,Middlesbrough,Stoke City,1,1,Draw,2,6,12,4,8,4,18,9,1,45%,3,0,0,349,262,75%,1,9,12,2,7,5,14,6,2,55%,5,0,1,420,330,79%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17690,2016-08-13 16:30:00+00:00,"Robert Madley, England",Etihad Stadium,Manchester,Manchester City,Sunderland,2,1,Home Win,4,8,16,4,9,8,11,9,1,76%,1,0,2,681,585,86%,3,2,7,2,4,3,14,6,2,24%,2,0,3,189,104,55%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17689,2016-08-14 12:30:00+00:00,"Andre Marriner, England",Vitality Stadium,Bournemouth,Bournemouth,Manchester United,1,3,Away Win,3,2,9,4,6,3,7,4,3,47%,0,0,4,483,412,85%,7,2,11,2,8,3,10,2,4,53%,1,0,2,561,488,87%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17688,2016-08-14 15:00:00+00:00,"Michael Oliver, England",Emirates Stadium,London,Arsenal,Liverpool,3,4,Away Win,5,3,9,1,6,3,13,5,4,50%,3,0,3,485,386,80%,7,3,16,6,12,4,17,4,3,50%,3,0,2,479,380,79%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17687,2016-08-15 19:00:00+00:00,"Anthony Taylor, England",Stamford Bridge,London,Chelsea,West Ham,2,1,Home Win,6,6,16,4,9,7,16,7,1,61%,5,0,2,556,480,86%,3,2,7,2,4,3,16,1,1,39%,2,0,4,350,257,73%,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
