Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
11911,2017-08-11T18:45:00+00:00,"Mike Dean, England",Emirates Stadium,London,Arsenal,Leicester,4,3,Home Win,10,9,27,8,15,12,9,9,5,70%,0,0,0,632,538,85%,3,3,6,0,5,1,12,4,3,30%,1,0,6,263,167,63%,0,0
11910,2017-08-12T11:30:00+00:00,"Anthony Taylor, England",Vicarage Road,Watford,Watford,Liverpool,3,3,Draw,4,4,9,1,6,3,14,3,3,45%,0,0,2,395,277,70%,5,8,14,1,13,1,8,3,1,55%,3,0,1,477,352,74%,0,0
11908,2017-08-12T14:00:00+00:00,"Mike Jones, England",St. Mary's Stadium,Southampton,Southampton,Swansea,0,0,Draw,2,16,29,11,16,13,10,13,0,59%,2,0,0,518,432,83%,0,2,4,2,3,1,13,0,1,41%,1,0,2,365,284,78%,0,0
11907,2017-08-12T14:00:00+00:00,"Neil Swarbrick, England",Goodison Park,Liverpool,Everton,Stoke City,1,0,Home Win,4,3,9,2,5,4,13,6,2,61%,1,0,1,497,392,79%,1,6,9,2,4,5,10,7,6,39%,1,0,3,292,211,72%,0,0
11905,2017-08-12T14:00:00+00:00,"Craig Pawson, England",Stamford Bridge,London,Chelsea,Burnley,2,3,Away Win,6,6,19,7,7,12,16,8,2,61%,5,2,2,521,446,86%,5,4,10,1,8,2,11,5,1,39%,3,0,4,320,241,75%,0,0
11906,2017-08-12T14:00:00+00:00,"Jonathan Moss, England",Selhurst Park,London,Crystal Palace,Huddersfield,0,3,Away Win,4,7,14,3,10,4,7,12,0,56%,1,0,4,391,304,78%,6,3,9,0,7,3,19,9,2,44%,3,0,4,306,199,65%,0,0
11909,2017-08-12T14:00:00+00:00,"Robert Madley, England",The Hawthorns,West Bromwich,West Brom,Bournemouth,1,0,Home Win,6,9,16,1,11,5,15,8,2,28%,3,0,2,242,157,65%,2,2,9,5,5,4,3,2,0,72%,1,0,5,612,527,86%,0,0
11904,2017-08-12T16:30:00+00:00,"Michael Oliver, England",American Express Community Stadium,Falmer,Brighton,Manchester City,0,2,Away Win,2,2,6,2,4,2,6,3,6,21%,0,0,3,213,130,61%,4,5,14,5,7,8,9,10,1,79%,2,0,2,768,691,90%,0,0
11903,2017-08-13T12:30:00+00:00,"Andre Marriner, England",St James' Park,Newcastle upon Tyne,Newcastle,Tottenham,0,2,Away Win,2,4,6,0,6,0,6,5,2,26%,1,1,4,245,157,64%,6,5,18,7,10,8,10,7,1,74%,2,0,2,702,628,89%,0,0
11902,2017-08-13T15:00:00+00:00,"Martin Atkinson, England",Old Trafford,Manchester,Manchester United,West Ham,4,0,Home Win,5,8,21,8,13,8,19,11,1,55%,2,0,1,493,417,85%,1,6,9,2,6,3,7,1,4,45%,2,0,1,397,316,80%,0,0
11901,2017-08-19T11:30:00+00:00,"Jonathan Moss, England",Liberty Stadium,Swansea,Swansea,Manchester United,0,4,Away Win,0,5,5,0,3,2,12,3,1,41%,1,0,4,406,315,78%,8,6,17,3,10,7,11,5,0,59%,1,0,0,601,523,87%,0,0
11896,2017-08-19T14:00:00+00:00,"Roger East, England",Vitality Stadium,Bournemouth,Bournemouth,Watford,0,2,Away Win,2,1,6,3,4,2,6,8,1,55%,1,0,5,438,338,77%,7,7,19,5,13,6,14,5,7,45%,3,0,2,338,265,78%,0,0
