Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
867946,2022-08-05T19:00:00+00:00,A. Taylor,Selhurst Park,London,Crystal Palace,Arsenal,0,2,Away Win,2,2,10,6,9,1,16,3,1,56%,1,0,1,562,487,87%,2,4,10,4,8,2,11,5,2,44%,2,0,2,438,360,82%,,
867947,2022-08-06T11:30:00+00:00,A. Madley,Craven Cottage,London,Fulham,Liverpool,2,2,Draw,3,2,9,4,7,2,7,4,4,33%,2,0,1,294,181,62%,4,5,11,2,9,2,9,4,4,67%,0,0,1,612,473,77%,,
867951,2022-08-06T14:00:00+00:00,S. Hooper,St. James' Park,Newcastle upon Tyne,Newcastle,Nottingham Forest,2,0,Home Win,10,8,23,5,16,7,9,11,2,61%,0,0,0,469,379,81%,0,3,5,2,4,1,14,1,0,39%,3,0,7,294,207,70%,,
867948,2022-08-06T14:00:00+00:00,P. Bankes,Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Aston Villa,2,0,Home Win,3,2,7,2,6,1,18,5,1,34%,3,0,2,301,211,70%,2,7,15,6,4,11,16,5,4,66%,3,0,1,571,479,84%,,
867952,2022-08-06T14:00:00+00:00,A. Marriner,Tottenham Hotspur Stadium,London,Tottenham,Southampton,4,1,Home Win,8,6,18,4,14,4,11,10,2,58%,3,0,1,554,471,85%,2,5,10,3,6,4,6,2,0,42%,0,0,5,410,337,82%,,
867949,2022-08-06T14:00:00+00:00,R. Jones,Elland Road,"Leeds, West Yorkshire",Leeds,Wolves,2,1,Home Win,4,5,12,3,7,5,13,6,0,40%,2,0,5,355,269,76%,6,6,15,3,8,7,9,4,1,60%,0,0,3,546,463,85%,,
867953,2022-08-06T16:30:00+00:00,C. Pawson,Goodison Park,Liverpool,Everton,Chelsea,0,1,Away Win,4,3,8,1,7,1,14,4,0,37%,3,0,5,335,246,73%,6,3,15,6,11,4,11,16,2,63%,2,0,3,566,490,87%,,
867954,2022-08-07T13:00:00+00:00,P. Tierney,Old Trafford,Manchester,Manchester United,Brighton,1,2,Away Win,5,5,17,7,13,4,7,6,3,63%,4,0,2,548,452,82%,4,6,15,5,10,5,12,2,1,37%,1,0,5,326,229,70%,,
867950,2022-08-07T13:00:00+00:00,J. Gillett,King Power Stadium,"Leicester, Leicestershire",Leicester,Brentford,2,2,Draw,5,6,14,3,5,9,6,5,2,55%,0,0,1,580,510,88%,3,4,8,1,5,3,5,6,2,45%,0,0,3,457,386,84%,,
867955,2022-08-07T15:30:00+00:00,M. Oliver,London Stadium,London,West Ham,Manchester City,0,2,Away Win,1,2,6,3,5,1,8,1,4,25%,0,0,0,263,206,78%,2,8,14,4,9,5,4,4,1,75%,1,0,1,833,774,93%,,
