Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
192297,2015-08-08T11:45:00+00:00,"Jonathan Moss, England",Old Trafford,Manchester,Manchester United,Tottenham,1,0,Home Win,1.0,4.0,9.0,4.0,6.0,4.0,0.0,1.0,1.0,50%,2.0,0.0,4.0,487.0,401.0,82%,4.0,2.0,9.0,3.0,8.0,1.0,0.0,2.0,2.0,50%,3.0,0.0,1.0,487.0,391.0,80%,0,0
192298,2015-08-08T14:00:00+00:00,"Mark Clattenburg, England",Vitality Stadium,Bournemouth,Bournemouth,Aston Villa,0,1,Away Win,2.0,7.0,11.0,2.0,8.0,3.0,0.0,6.0,0.0,58%,3.0,0.0,2.0,548.0,464.0,85%,3.0,2.0,7.0,2.0,4.0,3.0,0.0,3.0,0.0,42%,4.0,0.0,2.0,391.0,310.0,79%,0,0
192301,2015-08-08T14:00:00+00:00,"Mike Jones, England",Goodison Park,Liverpool,Everton,Watford,2,2,Draw,5.0,3.0,10.0,2.0,6.0,4.0,0.0,8.0,4.0,66%,1.0,0.0,3.0,558.0,451.0,81%,5.0,3.0,11.0,3.0,5.0,6.0,0.0,2.0,1.0,34%,2.0,0.0,3.0,286.0,200.0,70%,0,0
192300,2015-08-08T14:00:00+00:00,"Lee Mason, England",King Power Stadium,Leicester,Leicester,Sunderland,4,2,Home Win,8.0,8.0,20.0,4.0,16.0,4.0,0.0,6.0,0.0,44%,2.0,0.0,3.0,342.0,250.0,73%,5.0,4.0,11.0,2.0,7.0,4.0,0.0,3.0,1.0,56%,4.0,0.0,4.0,442.0,347.0,79%,0,0
192299,2015-08-08T14:00:00+00:00,"Simon Hooper, England",Carrow Road,Norwich,Norwich,Crystal Palace,1,3,Away Win,6.0,9.0,17.0,2.0,6.0,11.0,0.0,1.0,4.0,62%,1.0,0.0,4.0,470.0,388.0,83%,7.0,2.0,11.0,2.0,8.0,3.0,0.0,4.0,2.0,38%,0.0,0.0,4.0,272.0,200.0,74%,0,0
192302,2015-08-08T16:30:00+00:00,"Michael Oliver, England",Stamford Bridge,London,Chelsea,Swansea,2,2,Draw,3.0,5.0,11.0,3.0,7.0,5.0,0.0,4.0,2.0,52%,1.0,1.0,7.0,433.0,347.0,80%,10.0,2.0,17.0,5.0,12.0,5.0,0.0,8.0,4.0,48%,3.0,0.0,2.0,399.0,322.0,81%,0,0
192303,2015-08-09T12:30:00+00:00,"Craig Pawson, England",St James' Park,Newcastle upon Tyne,Newcastle,Southampton,2,2,Draw,4.0,3.0,9.0,2.0,6.0,3.0,0.0,6.0,0.0,56%,2.0,0.0,2.0,485.0,396.0,82%,4.0,7.0,14.0,3.0,10.0,4.0,0.0,6.0,3.0,44%,4.0,0.0,2.0,389.0,309.0,79%,0,0
192304,2015-08-09T12:30:00+00:00,"Martin Atkinson, England",Emirates Stadium,London,Arsenal,West Ham,0,2,Away Win,6.0,7.0,22.0,9.0,16.0,6.0,0.0,5.0,3.0,61%,1.0,0.0,2.0,556.0,481.0,87%,4.0,2.0,8.0,2.0,4.0,4.0,0.0,4.0,1.0,39%,3.0,0.0,6.0,359.0,256.0,71%,0,0
192305,2015-08-09T15:00:00+00:00,"Anthony Taylor, England",bet365 Stadium,Stoke,Stoke City,Liverpool,0,1,Away Win,1.0,4.0,7.0,2.0,4.0,3.0,0.0,3.0,3.0,47%,2.0,0.0,2.0,412.0,301.0,73%,3.0,1.0,8.0,4.0,4.0,4.0,0.0,5.0,2.0,53%,4.0,0.0,1.0,478.0,378.0,79%,0,0
192306,2015-08-10T19:00:00+00:00,"Mike Dean, England",The Hawthorns,West Bromwich,West Brom,Manchester City,0,3,Away Win,2.0,6.0,9.0,1.0,4.0,5.0,0.0,6.0,2.0,30%,4.0,0.0,4.0,328.0,267.0,81%,7.0,2.0,20.0,11.0,11.0,9.0,0.0,6.0,0.0,70%,1.0,0.0,2.0,764.0,693.0,91%,0,0
192307,2015-08-14T18:45:00+00:00,"Mike Dean, England",Villa Park,Birmingham,Aston Villa,Manchester United,0,1,Away Win,1.0,3.0,5.0,1.0,4.0,1.0,0.0,3.0,4.0,45%,2.0,0.0,1.0,441.0,356.0,81%,2.0,4.0,9.0,3.0,5.0,4.0,0.0,5.0,3.0,55%,2.0,0.0,1.0,534.0,458.0,86%,0,0
192308,2015-08-15T11:45:00+00:00,"Michael Oliver, England",St. Mary's Stadium,Southampton,Southampton,Everton,0,3,Away Win,4.0,9.0,17.0,4.0,14.0,3.0,0.0,9.0,1.0,54%,4.0,0.0,1.0,458.0,391.0,85%,4.0,2.0,10.0,4.0,7.0,3.0,0.0,9.0,2.0,46%,2.0,0.0,4.0,393.0,314.0,80%,0,0
192313,2015-08-15T14:00:00+00:00,"Paul Tierney, England",Vicarage Road,Watford,Watford,West Brom,0,0,Draw,5.0,8.0,16.0,3.0,7.0,9.0,0.0,2.0,0.0,63%,1.0,0.0,0.0,498.0,418.0,84%,0.0,5.0,6.0,1.0,4.0,2.0,0.0,4.0,0.0,37%,2.0,0.0,5.0,285.0,194.0,68%,0,0
192312,2015-08-15T14:00:00+00:00,"Robert Madley, England",White Hart Lane,London,Tottenham,Stoke City,2,2,Draw,7.0,2.0,13.0,4.0,7.0,6.0,0.0,4.0,3.0,53%,2.0,0.0,5.0,500.0,407.0,81%,7.0,6.0,15.0,2.0,11.0,4.0,0.0,3.0,3.0,47%,2.0,0.0,5.0,430.0,351.0,82%,0,0
192309,2015-08-15T14:00:00+00:00,"Anthony Taylor, England",London Stadium,London,West Ham,Leicester,1,2,Away Win,3.0,3.0,10.0,4.0,7.0,3.0,0.0,8.0,1.0,69%,1.0,1.0,3.0,553.0,468.0,85%,5.0,3.0,10.0,2.0,7.0,3.0,0.0,4.0,1.0,31%,3.0,0.0,2.0,242.0,157.0,65%,0,0
192310,2015-08-15T14:00:00+00:00,"Mike Jones, England",Liberty Stadium,Swansea,Swansea,Newcastle,2,0,Home Win,6.0,6.0,19.0,7.0,7.0,12.0,0.0,4.0,3.0,65%,2.0,0.0,2.0,635.0,586.0,92%,2.0,2.0,4.0,0.0,1.0,3.0,0.0,4.0,1.0,35%,3.0,1.0,4.0,333.0,261.0,78%,0,0
192311,2015-08-15T14:00:00+00:00,"Kevin Friend, England",Stadium of Light,Sunderland,Sunderland,Norwich,1,3,Away Win,2.0,3.0,6.0,1.0,3.0,3.0,0.0,6.0,2.0,43%,1.0,0.0,3.0,386.0,267.0,69%,6.0,4.0,18.0,8.0,9.0,9.0,0.0,6.0,1.0,57%,2.0,0.0,1.0,490.0,388.0,79%,0,0
192314,2015-08-16T12:30:00+00:00,"Lee Mason, England",Selhurst Park,London,Crystal Palace,Arsenal,1,2,Away Win,4.0,4.0,11.0,3.0,6.0,5.0,0.0,6.0,3.0,40%,1.0,0.0,5.0,376.0,302.0,80%,7.0,6.0,20.0,7.0,17.0,4.0,0.0,6.0,2.0,60%,1.0,0.0,3.0,564.0,478.0,85%,0,0
192315,2015-08-16T15:00:00+00:00,"Martin Atkinson, England",Etihad Stadium,Manchester,Manchester City,Chelsea,3,0,Home Win,8.0,6.0,18.0,4.0,11.0,7.0,0.0,5.0,1.0,49%,4.0,0.0,3.0,423.0,345.0,82%,3.0,4.0,10.0,3.0,5.0,5.0,0.0,1.0,3.0,51%,2.0,0.0,5.0,443.0,367.0,83%,0,0
192316,2015-08-17T19:00:00+00:00,"Craig Pawson, England",Anfield,Liverpool,Liverpool,Bournemouth,1,0,Home Win,2.0,11.0,18.0,5.0,8.0,10.0,0.0,6.0,1.0,54%,1.0,0.0,2.0,492.0,403.0,82%,2.0,6.0,13.0,5.0,8.0,5.0,0.0,8.0,0.0,46%,4.0,0.0,1.0,387.0,293.0,76%,0,0
192317,2015-08-22T11:45:00+00:00,"Craig Pawson, England",Old Trafford,Manchester,Manchester United,Newcastle,0,0,Draw,8.0,3.0,20.0,9.0,9.0,11.0,0.0,11.0,4.0,69%,2.0,0.0,0.0,637.0,567.0,89%,0.0,4.0,7.0,3.0,5.0,2.0,0.0,5.0,2.0,31%,2.0,0.0,8.0,280.0,201.0,72%,0,0
192322,2015-08-22T14:00:00+00:00,"Martin Atkinson, England",King Power Stadium,Leicester,Leicester,Tottenham,1,1,Draw,2.0,5.0,13.0,6.0,7.0,6.0,0.0,2.0,1.0,34%,1.0,0.0,5.0,265.0,180.0,68%,6.0,9.0,19.0,4.0,12.0,7.0,0.0,7.0,0.0,66%,4.0,0.0,1.0,523.0,440.0,84%,0,0
