Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
192677,2014-08-16T11:45:00+00:00,,Old Trafford (Manchester),,Manchester United,Swansea,1,2,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192678,2014-08-16T14:00:00+00:00,,"King Power Stadium (Leicester, Leicestershire)",,Leicester,Everton,2,2,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192682,2014-08-16T14:00:00+00:00,,Boleyn Ground (London),,West Ham,Tottenham,0,1,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192681,2014-08-16T14:00:00+00:00,,The Hawthorns (West Bromwich),,West Brom,Sunderland,2,2,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192679,2014-08-16T14:00:00+00:00,,Loftus Road Stadium (London),,QPR,Hull City,0,1,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192680,2014-08-16T14:00:00+00:00,,"Britannia Stadium (Stoke-on-Trent, Staffordshire)",,Stoke City,Aston Villa,0,1,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192683,2014-08-16T16:30:00+00:00,,Emirates Stadium (London),,Arsenal,Crystal Palace,2,1,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192684,2014-08-17T12:30:00+00:00,,Anfield (Liverpool),,Liverpool,Southampton,2,1,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192685,2014-08-17T15:00:00+00:00,,St. James' Park (Newcastle-upon-Tyne),,Newcastle,Manchester City,0,2,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192686,2014-08-18T19:00:00+00:00,,Turf Moor (Burnley),,Burnley,Chelsea,1,3,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192687,2014-08-23T11:45:00+00:00,,Villa Park (Birmingham),,Aston Villa,Newcastle,0,0,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192690,2014-08-23T14:00:00+00:00,,"St. Mary's Stadium (Southampton, Hampshire)",,Southampton,West Brom,0,0,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192688,2014-08-23T14:00:00+00:00,,Stamford Bridge (London),,Chelsea,Leicester,2,0,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192689,2014-08-23T14:00:00+00:00,,Selhurst Park (London),,Crystal Palace,West Ham,1,3,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192691,2014-08-23T14:00:00+00:00,,Liberty Stadium (Swansea),,Swansea,Burnley,1,0,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192692,2014-08-23T16:30:00+00:00,,Goodison Park (Liverpool),,Everton,Arsenal,2,2,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192694,2014-08-24T12:30:00+00:00,,White Hart Lane (London),,Tottenham,QPR,4,0,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192693,2014-08-24T12:30:00+00:00,,Kingston Communications Stadium (Hull),,Hull City,Stoke City,1,1,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192695,2014-08-24T15:00:00+00:00,,Stadium of Light (Sunderland),,Sunderland,Manchester United,1,1,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192696,2014-08-25T19:00:00+00:00,,Etihad Stadium (Manchester),,Manchester City,Liverpool,3,1,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192697,2014-08-30T11:45:00+00:00,,Turf Moor (Burnley),,Burnley,Manchester United,0,0,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192699,2014-08-30T14:00:00+00:00,,St. James' Park (Newcastle-upon-Tyne),,Newcastle,Crystal Palace,3,3,Draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192702,2014-08-30T14:00:00+00:00,,Boleyn Ground (London),,West Ham,Southampton,1,3,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192698,2014-08-30T14:00:00+00:00,,Etihad Stadium (Manchester),,Manchester City,Stoke City,0,1,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192700,2014-08-30T14:00:00+00:00,,Loftus Road Stadium (London),,QPR,Sunderland,1,0,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192701,2014-08-30T14:00:00+00:00,,Liberty Stadium (Swansea),,Swansea,West Brom,3,0,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192703,2014-08-30T16:30:00+00:00,,Goodison Park (Liverpool),,Everton,Chelsea,3,6,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192705,2014-08-31T12:30:00+00:00,,White Hart Lane (London),,Tottenham,Liverpool,0,3,Away Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
192704,2014-08-31T12:30:00+00:00,,Villa Park (Birmingham),,Aston Villa,Hull City,2,1,Home Win,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
