Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
157036,2019-08-23T19:00:00+00:00,"Michael Oliver, England",Villa Park,Birmingham,Aston Villa,Everton,2,0,Home Win,3,2,7,2,3,4,10,0,8,35%,2,0,1,301,219,73%,1,7,12,4,7,5,18,6,1,65%,3,0,1,539,435,81%,0,0
157040,2019-08-24T11:30:00+00:00,"Martin Atkinson, England",Carrow Road,"Norwich, Norfolk",Norwich,Chelsea,2,3,Away Win,5,1,6,0,5,1,9,1,0,46%,1,0,5,481,391,81%,8,5,23,10,12,11,9,8,0,54%,1,0,3,543,457,84%,0,0
157039,2019-08-24T14:00:00+00:00,"Paul Tierney, England",Old Trafford,Manchester,Manchester United,Crystal Palace,1,2,Away Win,3,13,22,6,14,8,8,8,0,71%,2,0,1,562,481,86%,3,1,5,1,5,0,18,1,0,29%,4,0,2,231,141,61%,0,0
157043,2019-08-24T14:00:00+00:00,"Chris Kavanagh, England",Vicarage Road,Watford,Watford,West Ham,1,3,Away Win,3,10,23,10,19,4,12,8,1,54%,1,0,7,465,390,84%,10,4,16,2,13,3,11,7,2,46%,1,0,2,386,306,79%,0,0
157037,2019-08-24T14:00:00+00:00,"Kevin Friend, England",The American Express Community Stadium,"Falmer, East Sussex",Brighton,Southampton,0,2,Away Win,3,6,12,3,9,3,9,8,1,50%,1,1,2,394,296,75%,4,5,12,3,6,6,10,5,0,50%,3,0,3,395,297,75%,0,0
157041,2019-08-24T14:00:00+00:00,"Andy Madley, England",Bramall Lane,Sheffield,Sheffield Utd,Leicester,1,2,Away Win,2,3,7,2,4,3,11,7,1,49%,1,0,0,421,316,75%,2,4,10,4,5,5,6,4,5,51%,0,0,1,452,358,79%,0,0
157038,2019-08-24T16:30:00+00:00,"Anthony Taylor, England",Anfield,Liverpool,Liverpool,Arsenal,3,1,Home Win,5,6,25,14,17,8,8,6,1,52%,1,0,2,553,474,86%,3,4,9,2,4,5,5,4,4,48%,1,0,2,516,447,87%,0,0
157035,2019-08-25T13:00:00+00:00,"Andre Marriner, England",Vitality Stadium,"Bournemouth, Dorset",Bournemouth,Manchester City,1,3,Away Win,7,2,10,1,8,2,7,4,2,26%,1,0,2,249,179,72%,5,4,18,9,14,4,13,5,4,74%,3,0,6,728,647,89%,0,0
157044,2019-08-25T15:30:00+00:00,"Craig Pawson, England",Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Burnley,1,1,Draw,2,8,17,7,9,8,9,4,1,65%,0,0,3,586,470,80%,4,6,13,3,8,5,11,3,1,35%,2,0,2,306,202,66%,0,0
157042,2019-08-25T15:30:00+00:00,"Mike Dean, England",Tottenham Hotspur Stadium,London,Tottenham,Newcastle,0,1,Away Win,2,8,17,7,8,9,10,6,1,80%,2,0,2,763,690,90%,3,2,8,3,7,1,5,6,4,20%,2,0,2,190,142,75%,0,0
157053,2019-08-31T11:30:00+00:00,"Mike Dean, England",St. Mary's Stadium,"Southampton, Hampshire",Southampton,Manchester United,1,1,Draw,2,5,10,3,5,5,17,2,0,41%,3,1,7,375,276,74%,8,9,21,4,13,8,7,3,1,59%,2,0,1,537,427,80%,0,0
157052,2019-08-31T14:00:00+00:00,"Graham Scott, England",St. James' Park,Newcastle upon Tyne,Newcastle,Watford,1,1,Draw,5,3,13,5,8,5,5,6,6,48%,2,0,3,468,359,77%,3,5,13,5,8,5,11,5,0,52%,3,0,4,498,384,77%,0,0
157050,2019-08-31T14:00:00+00:00,"Peter Bankes, England",King Power Stadium,"Leicester, Leicestershire",Leicester,Bournemouth,3,1,Home Win,6,5,15,4,7,8,9,4,2,55%,1,0,1,541,435,80%,2,2,8,4,3,5,11,5,1,45%,3,0,3,432,334,77%,0,0
157054,2019-08-31T14:00:00+00:00,"Paul Tierney, England",London Stadium,London,West Ham,Norwich,2,0,Home Win,8,7,18,3,14,4,16,8,2,48%,2,0,3,474,395,83%,3,3,8,2,5,3,10,2,3,52%,1,0,5,500,433,87%,0,0
157047,2019-08-31T14:00:00+00:00,"Stuart Attwell, England",Stamford Bridge,London,Chelsea,Sheffield Utd,2,2,Draw,5,5,13,3,8,5,6,3,2,62%,0,0,2,719,627,87%,2,5,8,1,3,5,11,4,0,38%,1,0,3,429,338,79%,0,0
157051,2019-08-31T14:00:00+00:00,"Jonathan Moss, England",Etihad Stadium,Manchester,Manchester City,Brighton,4,0,Home Win,6,8,15,1,10,5,10,8,1,53%,1,0,1,598,535,89%,2,1,6,3,5,1,6,1,3,47%,1,0,2,523,454,87%,0,0
157048,2019-08-31T14:00:00+00:00,"Kevin Friend, England",Selhurst Park,London,Crystal Palace,Aston Villa,1,0,Home Win,5,10,22,7,14,8,15,13,2,52%,2,0,2,407,343,84%,2,3,10,5,3,7,16,2,0,48%,6,1,4,379,315,83%,0,0
157046,2019-08-31T16:30:00+00:00,"Chris Kavanagh, England",Turf Moor,Burnley,Burnley,Liverpool,0,3,Away Win,2,4,7,1,4,3,10,6,5,36%,0,0,5,318,193,61%,7,2,15,6,7,8,16,4,1,64%,0,0,2,568,442,78%,0,0
