Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
592143,2020-09-12T11:30:00+00:00,C. Kavanagh,Craven Cottage,London,Fulham,Arsenal,0,3,Away Win,2,2,5,1,1,4,12,2,2,45%,2,0,2,523,461,88%,6,4,13,3,9,4,12,3,2,55%,2,0,2,626,562,90%,0,0
592142,2020-09-12T14:00:00+00:00,J. Moss,Selhurst Park,London,Crystal Palace,Southampton,1,0,Home Win,3,2,5,0,5,0,14,7,4,29%,2,0,5,236,121,51%,5,3,9,1,7,2,11,3,0,71%,1,0,2,580,458,79%,0,0
592144,2020-09-12T16:30:00+00:00,M. Oliver,Anfield,Liverpool,Liverpool,Leeds,4,3,Home Win,6,3,22,13,17,5,9,9,2,48%,1,0,0,432,328,76%,3,1,6,2,4,2,6,0,5,52%,0,0,3,459,347,76%,0,0
592148,2020-09-12T19:00:00+00:00,S. Attwell,London Stadium,London,West Ham,Newcastle,0,2,Away Win,3,5,15,7,10,5,13,8,2,58%,2,0,0,474,393,83%,2,7,15,6,10,5,7,7,4,42%,2,0,3,342,266,78%,0,0
592147,2020-09-13T13:00:00+00:00,A. Taylor,The Hawthorns,West Bromwich,West Brom,Leicester,0,3,Away Win,1,3,7,3,3,4,12,2,4,35%,1,0,4,336,255,76%,7,3,13,3,11,2,9,5,3,65%,1,0,1,604,511,85%,0,0
592146,2020-09-13T15:30:00+00:00,M. Atkinson,Tottenham Hotspur Stadium,London,Tottenham,Everton,0,1,Away Win,5,1,9,3,8,1,15,5,0,51%,1,0,3,552,470,85%,4,7,15,4,10,5,7,3,1,49%,0,0,5,529,450,85%,0,0
592150,2020-09-14T17:00:00+00:00,M. Dean,Bramall Lane,Sheffield,Sheffield Utd,Wolves,0,2,Away Win,2,5,9,2,8,1,13,12,4,55%,2,0,2,460,373,81%,4,5,11,2,7,4,7,5,0,45%,1,0,1,391,307,79%,0,0
592149,2020-09-14T19:15:00+00:00,C. Pawson,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Chelsea,1,3,Away Win,3,6,13,4,7,6,8,4,0,52%,1,0,2,507,414,82%,5,2,10,3,7,3,13,3,3,48%,0,0,2,465,387,83%,0,0
592154,2020-09-19T11:30:00+00:00,M. Dean,Goodison Park,Liverpool,Everton,West Brom,5,2,Home Win,7,5,17,5,13,4,9,11,1,71%,1,0,2,799,722,90%,4,1,6,1,2,4,11,1,1,29%,0,1,2,322,253,79%,0,0
592155,2020-09-19T14:00:00+00:00,A. Taylor,Elland Road,"Leeds, West Yorkshire",Leeds,Fulham,4,3,Home Win,7,2,10,1,8,2,13,5,3,50%,1,0,3,444,337,76%,6,5,14,3,7,7,18,3,0,50%,2,0,3,438,354,81%,0,0
592157,2020-09-19T16:30:00+00:00,M. Atkinson,Old Trafford,Manchester,Manchester United,Crystal Palace,1,3,Away Win,4,4,17,9,7,10,13,9,1,75%,2,0,2,705,606,86%,5,6,14,3,9,5,10,3,2,25%,1,0,3,225,138,61%,0,0
592151,2020-09-19T19:00:00+00:00,M. Oliver,Emirates Stadium,London,Arsenal,West Ham,2,1,Home Win,3,1,7,3,5,2,11,7,5,62%,0,0,2,669,577,86%,3,6,14,5,7,7,13,5,2,38%,1,0,1,383,314,82%,0,0
592159,2020-09-20T11:00:00+00:00,D. Coote,St. Mary's Stadium,"Southampton, Hampshire",Southampton,Tottenham,2,5,Away Win,7,5,14,2,9,5,17,3,2,52%,4,0,1,460,354,77%,6,1,9,2,7,2,18,2,6,48%,3,0,5,419,303,72%,0,0
592158,2020-09-20T13:00:00+00:00,K. Friend,St. James' Park,Newcastle upon Tyne,Newcastle,Brighton,0,3,Away Win,0,4,6,2,3,3,16,7,1,47%,3,0,4,386,296,77%,6,6,13,1,6,7,15,1,2,53%,0,1,0,444,358,81%,0,0
592153,2020-09-20T15:30:00+00:00,P. Tierney,Stamford Bridge,London,Chelsea,Liverpool,0,2,Away Win,3,2,5,0,3,2,10,1,1,38%,0,1,3,488,412,84%,6,9,18,3,10,8,6,11,1,62%,0,0,3,764,681,89%,0,0
592156,2020-09-20T18:00:00+00:00,L. Mason,King Power Stadium,"Leicester, Leicestershire",Leicester,Burnley,4,2,Home Win,6,2,14,6,11,3,11,15,0,67%,1,0,3,621,526,85%,5,8,16,3,11,5,13,4,1,33%,2,0,3,292,199,68%,0,0
592152,2020-09-21T17:00:00+00:00,G. Scott,Villa Park,Birmingham,Aston Villa,Sheffield Utd,1,0,Home Win,2,11,18,5,11,7,12,10,1,71%,3,0,1,553,486,88%,1,2,4,1,3,1,13,4,0,29%,1,1,1,221,131,59%,0,0
592160,2020-09-21T19:15:00+00:00,A. Marriner,Molineux Stadium,"Wolverhampton, West Midlands",Wolves,Manchester City,1,3,Away Win,1,5,10,4,6,4,7,4,2,34%,0,0,6,356,273,77%,9,3,14,2,8,6,8,6,3,66%,3,0,0,692,602,87%,0,0
592161,2020-09-26T11:30:00+00:00,C. Kavanagh,The American Express Community Stadium,"Falmer, East Sussex",Brighton,Manchester United,2,3,Away Win,5,9,18,4,12,6,18,7,1,53%,4,0,1,488,413,85%,3,1,7,3,6,1,16,1,4,47%,2,0,3,445,372,84%,0,0
592163,2020-09-26T14:00:00+00:00,K. Friend,Selhurst Park,London,Crystal Palace,Everton,1,2,Away Win,1,2,8,5,5,3,16,7,1,42%,3,0,3,370,281,76%,5,3,10,2,7,3,15,6,0,58%,1,0,0,524,433,83%,0,0
592169,2020-09-26T16:30:00+00:00,J. Moss,The Hawthorns,West Bromwich,West Brom,Chelsea,3,3,Draw,3,4,9,2,5,4,8,3,1,24%,1,0,7,249,168,67%,10,6,22,6,10,12,16,9,0,76%,3,0,0,797,711,89%,0,0
592162,2020-09-26T19:00:00+00:00,A. Marriner,Turf Moor,Burnley,Burnley,Southampton,0,1,Away Win,2,4,10,4,5,5,8,8,2,53%,1,0,0,522,374,72%,1,2,5,2,3,2,10,2,1,47%,0,0,2,480,341,71%,0,0
592167,2020-09-27T11:00:00+00:00,P. Tierney,Bramall Lane,Sheffield,Sheffield Utd,Leeds,0,1,Away Win,4,5,14,5,9,5,18,5,2,36%,2,0,7,327,232,71%,9,5,17,3,9,8,4,7,1,64%,1,0,4,578,470,81%,0,0
592168,2020-09-27T13:00:00+00:00,P. Bankes,Tottenham Hotspur Stadium,London,Tottenham,Newcastle,1,1,Draw,12,7,23,4,15,8,15,10,0,65%,1,0,0,640,564,88%,1,2,6,3,4,2,9,4,1,35%,4,0,11,319,247,77%,0,0
592166,2020-09-27T15:30:00+00:00,M. Oliver,Etihad Stadium,Manchester,Manchester City,Leicester,2,5,Away Win,5,7,16,4,6,10,13,3,2,71%,1,0,2,680,614,90%,7,0,7,0,4,3,8,3,3,29%,3,0,3,267,200,75%,0,0
592170,2020-09-27T18:00:00+00:00,M. Atkinson,London Stadium,London,West Ham,Wolves,4,0,Home Win,7,7,15,1,13,2,7,1,3,36%,0,0,3,367,280,76%,2,4,11,5,4,7,11,3,2,64%,1,0,4,626,543,87%,0,0
592164,2020-09-28T16:45:00+00:00,S. Attwell,Craven Cottage,London,Fulham,Aston Villa,0,3,Away Win,3,9,16,4,11,5,18,5,0,65%,6,0,2,538,461,86%,5,4,12,3,10,2,14,3,3,35%,3,0,2,302,213,71%,0,0
592165,2020-09-28T19:00:00+00:00,C. Pawson,Anfield,Liverpool,Liverpool,Arsenal,3,1,Home Win,8,7,21,6,12,9,11,7,0,66%,2,0,2,772,683,88%,3,1,4,0,3,1,7,3,5,34%,2,0,5,395,299,76%,0,0
592173,2020-10-03T11:30:00+00:00,M. Oliver,Stamford Bridge,London,Chelsea,Crystal Palace,4,0,Home Win,6,6,17,5,12,5,17,8,1,70%,2,0,0,707,636,90%,0,2,4,2,2,2,13,5,0,30%,0,0,2,280,208,74%,0,0
