Fixture ID,Date,Referee,Venue,City,Home Team,Away Team,Home Team Goals,Away Team Goals,Result,Home Shots on Goal,Home Shots off Goal,Home Total Shots,Home Blocked Shots,Home Shots insidebox,Home Shots outsidebox,Home Fouls,Home Corner Kicks,Home Offsides,Home Ball Possession,Home Yellow Cards,Home Red Cards,Home Goalkeeper Saves,Home Total passes,Home Passes accurate,Home Passes %,Away Shots on Goal,Away Shots off Goal,Away Total Shots,Away Blocked Shots,Away Shots insidebox,Away Shots outsidebox,Away Fouls,Away Corner Kicks,Away Offsides,Away Ball Possession,Away Yellow Cards,Away Red Cards,Away Goalkeeper Saves,Away Total passes,Away Passes accurate,Away Passes %,Home expected_goals,Away expected_goals
65,2018-08-10T19:00:00+00:00,"Andre Marriner, England",Old Trafford,Manchester,Manchester United,Leicester,2,1,Home Win,6,1,8,1,5,3,11,2,4,46%,2,0,3,485,399,82%,4,3,13,6,5,8,8,5,2,54%,1,0,4,543,450,83%,0,0
66,2018-08-11T11:30:00+00:00,"Martin Atkinson, England",St James' Park,Newcastle upon Tyne,Newcastle,Tottenham,1,2,Away Win,2,8,15,5,9,6,11,3,1,40%,2,0,3,387,268,69%,5,7,15,3,12,3,12,5,0,60%,2,0,1,573,467,82%,0,0
67,2018-08-11T14:00:00+00:00,"Kevin Friend, England",Vitality Stadium,Bournemouth,Bournemouth,Cardiff,2,0,Home Win,4,6,12,2,10,2,11,7,0,62%,1,0,1,502,397,79%,1,5,10,4,8,2,9,4,2,38%,1,0,2,287,175,61%,0,0
68,2018-08-11T14:00:00+00:00,"Mike Dean, England",Craven Cottage,London,Fulham,Crystal Palace,0,2,Away Win,6,4,15,5,6,9,9,5,2,66%,1,0,8,672,591,88%,10,0,12,2,8,4,11,5,3,34%,2,0,6,347,258,74%,0,0
69,2018-08-11T14:00:00+00:00,"Chris Kavanagh, England",John Smith's Stadium,Huddersfield,Huddersfield,Chelsea,0,3,Away Win,1,4,6,1,4,2,9,2,2,37%,2,0,1,372,281,76%,4,3,13,6,10,3,8,5,1,63%,1,0,1,658,582,88%,0,0
70,2018-08-11T14:00:00+00:00,"Jonathan Moss, England",Vicarage Road,Watford,Watford,Brighton,2,0,Home Win,5,9,19,5,12,7,10,8,0,53%,2,0,0,437,328,75%,0,5,6,1,5,1,16,2,3,47%,2,0,3,385,297,77%,0,0
71,2018-08-11T16:30:00+00:00,"Craig Pawson, England",Molineux Stadium,Wolverhampton,Wolves,Everton,2,2,Draw,4,5,11,2,3,8,8,3,2,57%,0,0,3,547,452,83%,5,3,8,0,7,1,7,6,3,43%,1,1,2,409,307,75%,0,0
72,2018-08-12T12:30:00+00:00,"Anthony Taylor, England",Anfield,Liverpool,Liverpool,West Ham,4,0,Home Win,8,7,18,3,13,5,14,5,5,64%,1,0,2,673,606,90%,2,2,5,1,4,1,9,4,3,36%,2,0,4,360,297,83%,0,0
73,2018-08-12T12:30:00+00:00,"Graham Scott, England",St. Mary's Stadium,Southampton,Southampton,Burnley,0,0,Draw,3,6,18,9,9,9,10,8,2,47%,0,0,6,369,280,76%,6,6,16,4,10,6,9,5,5,53%,1,0,3,408,311,76%,0,0
74,2018-08-12T15:00:00+00:00,"Michael Oliver, England",Emirates Stadium,London,Arsenal,Manchester City,0,2,Away Win,3,4,9,2,5,4,11,2,7,42%,2,0,6,401,320,80%,8,5,17,4,8,9,14,9,2,58%,2,0,3,555,467,84%,0,0
